Neurosurgeon,ABNS Certificate,RFP in CNS Endovascular Surgery,RFP in Neurological Critical Care,RFP in Pediatric Neurological Surgery,Certified,Lifetime
"Chitale, Vidyadhar",  05/01/1990,,,,,Not Required To Participate
"Clark, Victoria",,,,,,
"Coon, Valerie",  05/05/2018 - 12/31/2028,,,,Participating,
"Gelfand, Yaroslav",,,,,,
"Ghenbot, Yohannes",,,,,,
"Gologorsky, Yakov",  05/08/2017 - 12/31/2027,,,,Participating,
"Arnaout, Omar",  10/31/2020 - 12/31/2030,,,,Participating,
"Ashraf, Omar",,,,,,
"Awan, Omar",,,,,,
"Blackett, W.",  10/01/1967,,,,,Not Required To Participate
"Boling, Warren","['\xa0\xa005/15/2003 - 12/31/2013'], ['\xa0\xa001/01/2014 - 12/31/2024']",,,,Participating,
"Boop, Warren",  01/01/1966,,,,,Not Required To Participate
"Alexander, Todd","['\xa0\xa005/01/2001 - 12/31/2011'], ['\xa0\xa001/01/2012 - 12/31/2021'], ['\xa0\xa001/01/2022 - 12/31/2031']",,,,Participating,
"Altstadt, Thomas","['\xa0\xa011/03/2011 - 12/31/2021'], ['\xa0\xa001/01/2022 - 12/31/2031']",,,,Participating,
"Agarwal, Prateek",,,,,,
"Agarwalla, Pankaj",  11/05/2022 - 12/31/2032,,,,Participating,
"Aguilar, Pedro","['\xa0\xa005/21/2010 - 12/31/2020'], ['\xa0\xa001/01/2021 - 12/31/2030']",,,,Participating,
"Abushehab, Nimer",,,,,,
"Agarwal, Nitin",,,,,,
"Aghaerahim, Nima",,"['\xa0\xa001/02/2020'], ['\xa0\xa001/01/2021']",,,,
"Ackerman, Laurie","['\xa0\xa011/10/2006 - 12/31/2016'], ['\xa0\xa001/01/2017 - 12/31/2026']",,,  12/06/2018,Participating,
"Albert, Ladislau",  04/18/2016 - 12/31/2026,,,,Participating,
"Masood, Zihan",,,,,,
"Medress, Zachary",,,,,,
"Mirzadeh, Zaman",  05/08/2021 - 12/31/2031,,,,Participating,
"Cooper, Viraf","['\xa0\xa009/01/1985 - 12/31/2008'], ['\xa0\xa001/01/2009 - 12/31/2018'], ['\xa0\xa001/01/2019 - 12/31/2028']",,,,,
"Dadashev, Vladimir",  11/09/2015 - 12/31/2025,,,,Participating,
"Dang, Vivien",,,,,,
"Gozal, Yair",  05/08/2021 - 12/31/2031,,,,Participating,
"Grenier, Yannick","['\xa0\xa005/15/2003 - 12/31/2013'], ['\xa0\xa001/01/2014 - 12/31/2024']",,,,Participating,
"Hahn, Yoon",  05/01/1986,,,,,Not Required To Participate
"Awe, Olatilewa",  11/13/2021 - 12/31/2031,,,,Participating,
"Ballenger, Ottis",  01/01/1976,,,,,Not Required To Participate
"Bloch, Orin",  05/06/2018 - 12/31/2028,,,,Participating,
"Boydston, William",  11/01/1994,,,,,
"Brennan, William","['\xa0\xa005/01/2000 - 12/31/2010'], ['\xa0\xa001/01/2011 - 12/31/2020'], ['\xa0\xa001/01/2021 - 12/31/2030']",,,,Participating,
"Broaddus, William",  11/01/1997,,,,,Not Required To Participate
"Anderson, Thomas","['\xa0\xa011/10/2006 - 12/31/2016'], ['\xa0\xa001/01/2017 - 12/31/2026']",,,,Participating,
"Anene-Maidoh, Tony",  05/06/2022 - 12/31/2032,,,,Participating,
"Aguilar Salinas, Pedro",,,,,,
"Aldana, Philipp","['\xa0\xa011/10/2005 - 12/31/2015'], ['\xa0\xa001/01/2016 - 12/31/2025']",,,,Participating,
"Alexander, Peter","['\xa0\xa005/26/2005 - 12/31/2015'], ['\xa0\xa001/01/2016 - 12/31/2025']",,,,Participating,
"Ahye, Nicholas",,,,,,
"Ajiboye, Norman",,"['\xa0\xa001/01/2022'], ['\xa0\xa001/01/2023']",,,,
"Alan, Nima",,,,,,
"Alexander, Lon","['\xa0\xa005/09/1997 - 12/31/2014'], ['\xa0\xa001/01/2015 - 12/31/2024']",,,,Participating,
"Almodovar-Fabregas, Luis",  05/07/2014 - 12/31/2024,,,,Participating,
"Abbott, Rick",  05/01/1991,,,  12/06/2018,,
"Moses, Ziev",  11/10/2023 - 12/31/2033,,,,Participating,
"Pan, Zhun",,,,,,
"Pennington, Zachary",,,,,,
"Desai, Virendra",  11/10/2023 - 12/31/2033,,,,Participating,
"Deshmukh, Vinay","['\xa0\xa011/10/2006 - 12/31/2016'], ['\xa0\xa001/01/2017 - 12/31/2026']",,,,Participating,
"Deshmukh, Vivek","['\xa0\xa011/13/2009 - 12/31/2019'], ['\xa0\xa001/01/2020 - 12/31/2029']",,,,Participating,
"Hamade, Youssef",,,,,,
"Harasaki, Yasuaki",  11/02/2019 - 12/31/2029,,,,Participating,
"Herschman, Yehuda",,,,,,
"Chikovani, Oleg",  01/01/1984,,,,,Not Required To Participate
"Choudhri, Omar",  10/30/2020 - 12/31/2030,"['\xa0\xa001/01/2022'], ['\xa0\xa001/01/2023']",,,Participating,
"Brooks, William",  01/01/1976,,,,,Not Required To Participate
"Brown, William",  05/01/1982,,,,,Not Required To Participate
"Brown, Willis",  01/01/1976,,,,,Not Required To Participate
"Ansay, Tracy",  11/03/2018 - 12/31/2028,,,,Participating,
"Anton, Toomas","['\xa0\xa005/02/2012 - 12/31/2022'], ['\xa0\xa001/01/2023 - 12/31/2032']",,,,Participating,
"Arkins, Thomas",  05/01/1982,,,,,Not Required To Participate
"Alikhani, Puya",  11/01/2020 - 12/31/2030,,,,Participating,
"Amenta, Peter",  11/05/2017 - 12/31/2027,,,,Participating,
"Amstutz, Paul",  11/01/1993,,,,,Not Required To Participate
"Alexiades, Nikita",,,,,,
"Almeida, Neil",,,,,,
"Amankulor, Nduka",  11/05/2017 - 12/31/2027,,,,Participating,
"Altenau, Lance",  01/01/1983,,,,,Not Required To Participate
"Ampie, Leonel",,,,,,
"Abdolvahabi, Ramin","['\xa0\xa011/13/2009 - 12/31/2019'], ['\xa0\xa001/01/2020 - 12/31/2029']",,,,Participating,
"Abramson, Robert","['\xa0\xa011/12/2010 - 12/31/2020'], ['\xa0\xa001/01/2021 - 02/13/2023']",,,,,
"Plummer, Zachary",,,,,,
"Porter, Zachary",,,,,,
"Rappaport, Zvi",  05/01/1982,,,,,
"Dimopoulos, Vassilios",  05/05/2019 - 12/31/2029,,,,Participating,
"DiNapoli, Vincent",  05/04/2019 - 12/31/2029,,,,Participating,
"Hu, Yin",  11/10/2015 - 12/31/2025,,,,Participating,
"Huang, Yuhao (Danny)",,,,,,
"Imani, Yusef",  05/08/2021 - 12/31/2031,,,,Participating,
"Choudhry, Osamah",,,,,,
"Choutka, Ondrej",  04/18/2016 - 12/31/2026,,,,Participating,
"Buchheit, William",  01/01/1968,,,,,Not Required To Participate
"Butler, William","['\xa0\xa005/01/2000 - 12/31/2010'], ['\xa0\xa001/01/2011 - 12/31/2020'], ['\xa0\xa001/01/2021 - 12/31/2030']",,,,Participating,
"Capel, Winston","['\xa0\xa011/01/2002 - 12/31/2012'], ['\xa0\xa001/01/2013 - 12/31/2022'], ['\xa0\xa001/01/2023 - 12/31/2032']",,,,Participating,
"Arora, Tarun",  11/11/2015 - 12/31/2025,,,,Participating,
"Atchley, Travis",,,,,,
"Angevine, Peter","['\xa0\xa011/12/2008 - 12/31/2018'], ['\xa0\xa001/01/2019 - 12/31/2028']",,,,Participating,
"Antwi, Prince",,,,,,
"Apostolides, Paul","['\xa0\xa011/01/2002 - 12/31/2012'], ['\xa0\xa001/01/2013 - 12/31/2022'], ['\xa0\xa001/01/2023 - 12/31/2032']",,,,Participating,
"Amaral-Nieves, Natalie",,,,,,
"Andalkar, Niteen","['\xa0\xa005/02/2012 - 12/31/2022'], ['\xa0\xa001/01/2023 - 12/31/2032']",,,,Participating,
"Andrade, Nicholas",  05/04/2019 - 12/31/2029,,,,Participating,
"Anderson, Laura",  05/01/1994,,,,,Not Required To Participate
"Anderson, Lloyd",  10/01/1970,,,,,Not Required To Participate
"Achey, Rebecca",,,,,,
"Ahluwalia, Ranbir",,,,,,
"Ahmed, Raheel",  05/04/2019 - 12/31/2029,,,  06/16/2019,Participating,
"Abbassioun, Kazem",  01/01/1969,,,,,Not Required To Participate
"Ren, Zeguang",  11/04/2018 - 12/31/2028,"['\xa0\xa001/01/2022'], ['\xa0\xa001/01/2023']",,,Participating,
"Schnurman, Zane",,,,,,
"Dolenc, Vinko",  01/01/1974,,,,,Not Required To Participate
"Du, Victor",  11/11/2023 - 12/31/2033,,,,Participating,
"Fennell, Vernard",  05/07/2022 - 12/31/2032,,,,Participating,
"Jeelani, Yasser",,,,,,
"Jin, Yike",,,,,,
"Kamath, Yogish","['\xa0\xa011/12/2010 - 12/31/2020'], ['\xa0\xa001/01/2021 - 12/31/2030']",,,,Participating,
"De Jesus, Orlando",  05/01/1997,,,,,Not Required To Participate
"Dold, Oliver",  05/01/1998,,,,,
"Flouty, Oliver",,,,,,
"Carlton, William",,,,,,
"Caton, William",  08/01/1981,,,,,
"Ceola, Wade","['\xa0\xa005/12/2006 - 12/31/2016'], ['\xa0\xa001/01/2017 - 12/31/2026']",,,,Participating,
"Atkins, Tyler",,,,,,
"Auschwitz, Tyler",  11/02/2019 - 12/31/2029,"['\xa0\xa001/01/2022'], ['\xa0\xa001/01/2023']",,,Participating,
"Argires, Perry","['\xa0\xa005/01/2002 - 12/31/2012'], ['\xa0\xa001/01/2013 - 12/31/2022'], ['\xa0\xa001/01/2023 - 12/31/2032']",,,,Participating,
"Arlant, Pedro",  09/01/1987,,,,,Not Required To Participate
"Arnold, Paul",  05/01/1997,,,,,
"Aronson, Neal",  11/01/1956,,,,,Not Required To Participate
"Arredondo, Nicolas",  11/12/2014 - 12/31/2024,,,,Participating,
"Asner, Nesher",  11/01/1998,,,,,
"Angelov, Lilyana","['\xa0\xa005/25/2007 - 12/31/2017'], ['\xa0\xa001/01/2018 - 12/31/2027']",,,,Participating,
"Anker, Lars","['\xa0\xa011/12/2008 - 12/31/2018'], ['\xa0\xa001/01/2019 - 12/31/2028']",,,,Participating,
"Ansell, Lee",  09/01/1986,,,,,Not Required To Participate
"Alcedo-Guardia, Rodolfo",  11/13/2021 - 12/31/2031,,,,Participating,
"Ali, Rohaid",,,,,,
"Ali, Rushna",  05/07/2021 - 12/31/2031,,,,Participating,
"Abbed, Khalid","['\xa0\xa005/02/2012 - 12/31/2022'], ['\xa0\xa001/01/2023 - 12/31/2032']",,,,Participating,
"Abdullah, Kalil",  11/05/2022 - 12/31/2032,,,,Participating,
"Abode-Iyamah, Kingsley",  11/02/2019 - 12/31/2029,,,,Participating,
"Smalley, Zachary",,,,,,
"Smith, Zachary",  11/11/2015 - 12/31/2025,,,,Participating,
"Sorrentino, Zachary",,,,,,
"Ferrara, Vincent",  11/01/1972,,,,,Not Required To Participate
"Fischer, Victoria",,,,,,
"Kayan, Yasha",,"['\xa0\xa001/02/2020'], ['\xa0\xa001/01/2021'], ['\xa0\xa001/01/2022']",,,,
"Khavkin, Yevgeniy","['\xa0\xa011/11/2010 - 12/31/2020'], ['\xa0\xa001/01/2021 - 12/31/2030']",,,,Participating,
"Kim, Young",  05/01/1980,,,,,Not Required To Participate
"Gilbert, Olivia",,,,,,
"Gottfried, Oren",  05/15/2013 - 12/31/2024,,,,Participating,
"Chandler, William",  05/01/1980,,,,,Not Required To Participate
"Chang, Wendy",  11/04/2022 - 12/31/2032,,,,Participating,
"Avila, Tiffany",  05/04/2019 - 12/31/2029,,,,Participating,
"Azad, Tej",,,,,,
"Ball, Tyler",,,,,,
"Aronin, Patricia",  05/01/1985,,,,,Not Required To Participate
"Azordegan, Philip","['\xa0\xa005/01/1999 - 12/31/2009'], ['\xa0\xa001/01/2010 - 12/31/2019'], ['\xa0\xa001/01/2020 - 12/31/2029']",,,,Participating,
"Au Yong, Nicholas",  11/13/2021 - 12/31/2031,,,,Participating,
"Baldwin, Nevan",  05/01/1998,,,,,Not Required To Participate
"Apfel, Lisa","['\xa0\xa005/02/2012 - 12/31/2022'], ['\xa0\xa001/01/2023 - 12/31/2032']",,,,Participating,
"Arko, Leopold",  05/12/2023 - 12/31/2033,,,  06/11/2023,Participating,
"Atkinson, Lynn",  05/01/1994,,,,,Not Required To Participate
"Allen, Robert",  05/01/1989,,,,,Not Required To Participate
"Allende, Rafael","['\xa0\xa005/15/2013 - 12/31/2023'], ['\xa0\xa001/01/2024 - 12/31/2033']",,,,Participating,
"Allison, Randall",,,,,,
"Abtin, Keyvan","['\xa0\xa005/20/2004 - 12/31/2014'], ['\xa0\xa001/01/2015 - 12/31/2024']",,,,,
"Ahmed, Karim",,,,,,
"Aljiboori, Karrar",,,,,,
"Tempel, Zachary",  05/08/2021 - 12/31/2031,,,,Participating,
"Teton, Zoe",,,,,,
"Fredrickson, Vance",,,,,,
"Freund, Victor","['\xa0\xa005/26/2005 - 12/31/2015'], ['\xa0\xa001/01/2016 - 12/31/2025']",,,,Participating,
"Friedman, Verner",  01/01/1964,,,,,Not Required To Participate
"Kuo, Yu-Hung","['\xa0\xa005/21/2010 - 12/31/2020'], ['\xa0\xa001/01/2021 - 12/31/2030']",,,,Participating,
"Lee, Young",,,,,,
"Grin, Oliver",  12/01/1976,,,,,Not Required To Participate
"Harris, Odette","['\xa0\xa005/30/2008 - 12/31/2018'], ['\xa0\xa001/01/2019 - 12/31/2028']",,,,Participating,
"Hubschmann, Otakar",  09/01/1978,,,,,Not Required To Participate
"Cheek, William",  10/01/1963,,,,,
"Chen, Wesley",,,,,,
"Cherny, W.","['\xa0\xa005/01/2000 - 12/31/2010'], ['\xa0\xa001/01/2011 - 12/31/2020'], ['\xa0\xa001/01/2021 - 12/31/2030']",,,,Participating,
"Banerjee, Timir",  01/01/1976,,,,,Not Required To Participate
"Beaumont, Thomas",  11/05/2022 - 12/31/2032,,,,Participating,
"Babington, Parker",  05/04/2019 - 12/31/2029,,,,Participating,
"Baek, Paul",  11/01/1997,,,,Participating,
"Baghai, Parviz",  01/01/1983,,,,,Not Required To Participate
"Bambakidis, Nicholas","['\xa0\xa005/30/2008 - 12/31/2018'], ['\xa0\xa001/01/2019 - 12/31/2028']",,,,Participating,
"Bamber, Norman",  05/07/2014 - 12/31/2024,,,,Participating,
"Baird, Lissa",  05/09/2017 - 12/31/2027,,,  11/28/2017,Participating,
"Bartl, Lynn","['\xa0\xa005/26/2005 - 12/31/2015'], ['\xa0\xa001/01/2016 - 12/31/2025']",,,,Participating,
"Almefty, Rami",  11/13/2021 - 12/31/2031,,,,Participating,
"Alterman, Ron",  05/01/1998,,,,,Not Required To Participate
"Almefty, Kaith",  10/30/2020 - 12/31/2030,,,,Participating,
"Ammar, Kevin","['\xa0\xa011/12/2010 - 12/31/2020'], ['\xa0\xa001/01/2021 - 12/31/2030']",,,,Participating,
"Arcot, Karthikeyan",,,,,,
"Voronovich, Zoya",,,,,,
"Wang, Zhe",,,,,,
"Wetsel, Zachary Pace",,,,,,
"Gala, Vishal","['\xa0\xa011/02/2011 - 12/31/2021'], ['\xa0\xa001/01/2022 - 12/31/2031']",,,,Participating,
"Gonugunta, Vivekananda",  05/07/2014 - 12/31/2024,,,,Participating,
"Gospodarev, Vadim",,,,,,
"Li, Yan Michael",  11/11/2023 - 12/31/2033,,,,Participating,
"Li, Yiping",  11/05/2022 - 12/31/2032,,,,Participating,
"Ilercil, Orhan","['\xa0\xa005/01/2001 - 12/31/2011'], ['\xa0\xa001/01/2012 - 12/31/2021'], ['\xa0\xa001/01/2022 - 12/31/2031']",,,,Participating,
"Jimenez, Omar","['\xa0\xa011/12/2010 - 12/31/2020'], ['\xa0\xa001/01/2021 - 12/31/2030']",,,,Participating,
"Kashlan, Osama",  05/07/2021 - 12/31/2031,,,,Participating,
"Choy, Winward",,,,,,
"CLARK, WINSTON",  11/01/1992,,,,,
"Clifton, William",,,,,,
"Becherer, Thomas","['\xa0\xa005/15/2003 - 12/31/2013'], ['\xa0\xa001/01/2014 - 12/31/2024']",,,,Participating,
"Belknap, Thomas",  05/10/2017 - 12/31/2027,,,,Participating,
"Ball, Perry",  05/01/1997,,"['\xa0\xa001/01/2022'], ['\xa0\xa001/01/2022'], ['\xa0\xa001/01/2022'], ['\xa0\xa001/01/2022'], ['\xa0\xa001/01/2022']",,Participating,
"Balousek, Peter","['\xa0\xa011/12/2004 - 12/31/2014'], ['\xa0\xa001/01/2015 - 12/31/2024']",,,,Participating,
"Basta, Peter","['\xa0\xa005/02/2012 - 12/31/2022'], ['\xa0\xa001/01/2023 - 12/31/2032']",,,,Participating,
"Barbaro, Nicholas",  09/01/1987,,,,,
"Baxi, Nrupen",  11/03/2018 - 12/31/2028,,,,Participating,
"Bassani, Luigi",  11/03/2018 - 12/31/2028,,,  06/20/2020,Participating,
"Berlad, Lee",  05/01/1992,,,,,Not Required To Participate
"Bernhardt, Lydia",,,,,,
"Alvarez, Reinier",,,,,,
"AmirNovin, Ramin","['\xa0\xa005/21/2010 - 12/31/2020'], ['\xa0\xa001/01/2021 - 12/31/2030']",,,,Participating,
"Arnautovic, Kenan","['\xa0\xa011/11/2005 - 12/31/2015'], ['\xa0\xa001/01/2016 - 12/31/2025']",,,,Participating,
"Aronyk, Keith",  05/01/1990,,,,,Not Required To Participate
"Williams, Ziv",  05/15/2013 - 12/31/2024,,,,Participating,
"Wright, Zachary",  10/31/2020 - 12/31/2030,,,  12/12/2020,Participating,
"Xiaofei, Zhou",,,,,,
"Gracias, Vicente",  09/01/1978,,,,,Not Required To Participate
"Gupta, Vivek Sean",,,,,,
"Hillard, Virany","['\xa0\xa011/02/2011 - 12/31/2021'], ['\xa0\xa001/01/2022 - 12/31/2031']",,,,Participating,
"Li, Yuping Derek",,,,,,
"Lu, Yi",  04/19/2016 - 12/31/2026,,,,Participating,
"Marquez, Yvette",  05/08/2021 - 12/31/2031,,,,Participating,
"Kass-Hout, Omar",,"['\xa0\xa003/15/2021'], ['\xa0\xa001/01/2022']",,,,
"Kesterson, Oliver",  05/01/1992,,,,,Not Required To Participate
"Cobb, William",  05/08/2017 - 12/31/2027,,,,Participating,
"Coggins, William",,,,,,
"Copeland, William",  11/03/2018 - 12/31/2028,,,,Participating,
"Berger, Thomas",  01/01/1976,,,,,Not Required To Participate
"Bergman, Thomas",  05/01/1991,,,,,Not Required To Participate
"Bernstein, Theodore",  04/01/1975,,,,,Not Required To Participate
"Bechtel, Philip",  09/01/1983,,,,,Not Required To Participate
"Belton, Patrick",,,,,,
"Berryhill, Phillip",  11/14/2013 - 03/31/2022,,,,,
"Beaty, Narlin",  11/02/2019 - 12/31/2029,,,,Participating,
"Bentley, Nicole",  10/30/2020 - 12/31/2030,,,,Participating,
"Binter, Nancy",  05/01/1992,,,,,Not Required To Participate
"Birnbaum, Lee",,,,,,
"Bland, Linda",  05/01/1996,,,,,Not Required To Participate
"Bodden, Larry",,,,,,
"Amundson, Russell",  11/01/1993,,,,,Not Required To Participate
"Anderson, Richard","['\xa0\xa011/09/2007 - 12/31/2017'], ['\xa0\xa001/01/2018 - 12/31/2027']",,,  12/06/2018,Participating,
"Asadi-Moghaddam, Kaveh",  05/08/2017 - 12/31/2027,,,  06/02/2018,Participating,
"Ashayeri, Kimberly",,,,,,
"Zhang, Zoe",  10/30/2020 - 12/31/2030,,,,Participating,
"Zhao, Zirun",,,,,,
"Ho, Victor",  09/01/1986,,,,,
"Kareh, Victor",  05/01/1993,,,,,Not Required To Participate
"Kohli, Vikraant",,,,,,
"Meyer, Yves",  05/01/1995,,,,,
"MOHAN, YS.",,,,,,
"Khanna, Omaditya",,,,,,
"Lajthia, Orgest",,,,,,
"Lee, Onechang",  05/06/2022 - 12/31/2032,,,,Participating,
"Cotter, Walter",  01/01/1960,,,,,Not Required To Participate
"Couldwell, William",  11/01/1994,,,,,Not Required To Participate
