Neurosurgeon,ABNS Certificate,RFP in CNS Endovascular Surgery,RFP in Neurological Critical Care,RFP in Pediatric Neurological Surgery,Certified,Lifetime
"Alkhani, Ahmed","['\xa0\xa011/19/2003 - 12/31/2013'], ['\xa0\xa001/01/2014 - 12/31/2023']",,,,Participating,
"Alonso, Andrea S.",,,,,,
"Alsalahi, Ammar",,,,,,
"Cheung, Vincent",  05/06/2022 - 12/31/2032,,,,Participating,
"Chhabra, Vaninder",  11/10/2015 - 12/31/2025,,,,Participating,
"Chiang, Veronica","['\xa0\xa011/19/2003 - 12/31/2013'], ['\xa0\xa001/01/2014 - 12/31/2023']",,,,Participating,
"Chitale, Vidyadhar",  05/01/1990,,,,,Not Required To Participate
"Boulis, Nicholas","['\xa0\xa005/12/2006 - 12/31/2016'], ['\xa0\xa001/01/2017 - 12/31/2026']",,,,Participating,
"Brandmeir, Nicholas",  05/07/2021 - 12/31/2031,,"['\xa0\xa002/09/2023'], ['\xa0\xa002/09/2023'], ['\xa0\xa002/09/2023'], ['\xa0\xa002/09/2023'], ['\xa0\xa002/09/2023']",,Participating,
"Brooks, Nathaniel",  05/07/2014 - 12/31/2024,,,,Participating,
"Alshekhlee, Amer",,  06/09/2022,,,,
"Alshekhlee, Amer",,  06/09/2022,,,,
"Alvarado, Abraham",,,,,,
"Clark, Victoria",,,,,,
"Coon, Valerie",  05/05/2018 - 12/31/2028,,,,Participating,
"Cooper, Viraf","['\xa0\xa009/01/1985 - 12/31/2008'], ['\xa0\xa001/01/2009 - 12/31/2018'], ['\xa0\xa001/01/2019 - 12/31/2028']",,,,,
"Dadashev, Vladimir",  11/09/2015 - 12/31/2025,,,,Participating,
"Brown, Neil","['\xa0\xa011/01/2002 - 12/31/2012'], ['\xa0\xa001/01/2013 - 12/31/2022'], ['\xa0\xa001/01/2023 - 12/31/2032']",,,,Participating,
"Buckley, Niall",,,,,,
"Caffes, Nicholas",,,,,,
"Alvarado, Anthony",,,,,,
"Alvarez-Berdecia, Antonio",  02/01/1982,,,,,Not Required To Participate
"Amar, Arun","['\xa0\xa005/26/2005 - 12/31/2015'], ['\xa0\xa001/01/2016 - 12/31/2025']",  02/13/2023,,,Participating,
"Dang, Vivien",,,,,,
"Desai, Virendra",,,,,,
"Deshmukh, Vinay","['\xa0\xa011/10/2006 - 12/31/2016'], ['\xa0\xa001/01/2017 - 12/31/2026']",,,,Participating,
"Charlie, Nelson",,,,,,
"Chaudhary, Neeraj",,  06/09/2022,,,,
"Chaudhry, Nauman",,,,,,
"Amin, Anubhav",,,,,,
"Amini, Aminullah (Amin)","['\xa0\xa005/02/2012 - 12/31/2022'], ['\xa0\xa001/01/2023 - 12/31/2032']",,,,Participating,
"Ammar, Adam",,,,,,
"Anaizi, Amjad",  05/05/2018 - 12/31/2028,,,,Participating,
"Deshmukh, Vivek","['\xa0\xa011/13/2009 - 12/31/2019'], ['\xa0\xa001/01/2020 - 12/31/2029']",,,,Participating,
"Dimopoulos, Vassilios",  05/05/2019 - 12/31/2029,,,,Participating,
"DiNapoli, Vincent",  05/04/2019 - 12/31/2029,,,,Participating,
"Coppa, Nicholas",  11/13/2013 - 12/31/2023,,,,Participating,
"Dahdaleh, Nader",  05/10/2017 - 12/31/2027,,,,Participating,
"Damodara, Nitesh",,,,,,
"Ananda, Ajay","['\xa0\xa005/27/2009 - 12/31/2019'], ['\xa0\xa001/01/2020 - 02/13/2023']",,,,,
"Anant, Ashok",  01/01/1984,,,,,Not Required To Participate
"Anzalone, Anthony",,,,,,
"Appley, Alan",  11/01/1992,,,,,
"Dolenc, Vinko",  01/01/1974,,,,,Not Required To Participate
"Du, Victor",,,,,,
"Fennell, Vernard",  05/07/2022 - 12/31/2032,,,,Participating,
"Davis, Nathan",,,,,,
"Delavari, Nader",,,,,,
"Derrico, Nicholas Peter",,,,,,
"Dietz, Nicholas",,,,,,
"Arand, Arthur",  05/01/1997,,,,,Not Required To Participate
"Arthur, Adam","['\xa0\xa011/13/2009 - 12/31/2019'], ['\xa0\xa001/01/2020 - 12/31/2029']",,,,Participating,
"Asher, Anthony",  11/01/1998,,,,,
"Ferrara, Vincent",  11/01/1972,,,,,Not Required To Participate
"Fischer, Victoria",,,,,,
"Fredrickson, Vance",,,,,,
"Doan, Ninh",  05/08/2021 - 12/31/2031,,,,Participating,
"Duggal, Neil","['\xa0\xa011/11/2005 - 12/31/2015'], ['\xa0\xa001/01/2016 - 12/31/2025']",,,,Participating,
"Echeverry, Nikolas",,,,,,
"Edalatpour, N.",  04/01/1965,,,,,Not Required To Participate
"ASHER, ANTHONY",,,,,,
"Asthagiri, Ashok","['\xa0\xa011/07/2012 - 12/31/2022'], ['\xa0\xa001/01/2023 - 12/31/2032']",,,,Participating,
"Avellino, ANTHONY","['\xa0\xa005/20/2004 - 12/31/2014'], ['\xa0\xa001/01/2015 - 12/31/2024']",,,,Participating,
"Freund, Victor","['\xa0\xa005/26/2005 - 12/31/2015'], ['\xa0\xa001/01/2016 - 12/31/2025']",,,,Participating,
"Friedman, Verner",  01/01/1964,,,,,Not Required To Participate
"Gala, Vishal","['\xa0\xa011/02/2011 - 12/31/2021'], ['\xa0\xa001/01/2022 - 12/31/2031']",,,,Participating,
"El Chalouhi, Nohra",  05/12/2023 - 12/31/2033,,,,Participating,
"El Tecle, Najib",,,,,,
"Ellens, Nathaniel",,,,,,
"Awad, Ahmed",,,,,,
"Awad, Al-Wala",,,,,,
"Ayer, Amit",,,,,,
"Azghadi, Adel",,,,,,
"Gonugunta, Vivekananda",  05/07/2014 - 12/31/2024,,,,Participating,
"Gospodarev, Vadim",,,,,,
"Gracias, Vicente",  09/01/1978,,,,,Not Required To Participate
"Gupta, Vivek Sean",,,,,,
"Epstein, Nancy",  05/01/1984,,,,,
"Erickson, Nicholas",,,,,,
"Escobar, Nelson",  01/01/1979,,,,,Not Required To Participate
"Azimpoor, Ali",  05/01/1977,,,,,Not Required To Participate
"Baaj, Ali","['\xa0\xa011/09/2015 - 05/16/2022'], ['\xa0\xa002/07/2023 - 12/31/2032']",,,,Participating,
"Back, Adam",  05/07/2021 - 12/31/2031,,,,Participating,
"Hillard, Virany","['\xa0\xa011/02/2011 - 12/31/2021'], ['\xa0\xa001/01/2022 - 12/31/2031']",,,,Participating,
"Ho, Victor",  09/01/1986,,,,,
"Kareh, Victor",  05/01/1993,,,,,Not Required To Participate
"Esplin, Nathan",,,,,,
"Fatehi, Nasrollah",  05/01/1986,,,,,Not Required To Participate
"Feldstein, Neil",  05/19/1995,,,  11/12/2018,Participating,
"Badejo, Adeleke",  09/01/1985,,,,,Not Required To Participate
"Bahari, Abbas",  05/06/2022 - 12/31/2032,,,,Participating,
"Bakare, Adewale",,,,,,
"Baker, FAANS, Abdul",  10/30/2020 - 12/31/2030,,,,Participating,
"Kohli, Vikraant",,,,,,
"Krishna, Vibhor",  05/04/2019 - 12/31/2029,,,,Participating,
"Kshettry, Varun",  10/31/2020 - 12/31/2030,,,,Participating,
"Kumar, Vasantha",  01/01/1976,,,,,Not Required To Participate
"Ferraro, Nicholas",  11/04/2022 - 12/31/2032,,,,Participating,
"Field, Nicholas",,,,,,
"Gadgil, Nisha",,,,,,
"Banerjee, Amit","['\xa0\xa011/07/2012 - 12/31/2022'], ['\xa0\xa001/01/2023 - 12/31/2032']",,,,Participating,
"Baohan, Amy",,,,,,
"Bari, Ausaf",  11/01/2020 - 12/31/2030,,,,Participating,
"Kumar, Vignessh",,,,,,
"Kumar, Vikram","['\xa0\xa005/03/2012 - 12/31/2022'], ['\xa0\xa001/01/2023 - 12/31/2032']",,,,Participating,
"Lemons, VanBuren",  05/29/1996,,,,,Not Required To Participate
"Gahm, Norman",  11/01/1969,,,,,Not Required To Participate
"Gamboa, Nicholas",,,,,,
"Giridharan, nisha",,,,,,
"Gonzalez, Nestor",  11/14/2013 - 12/31/2023,"['\xa0\xa003/15/2021'], ['\xa0\xa001/01/2022'], ['\xa0\xa001/01/2023']",,,Participating,
"Barkley, Ariana",,,,,,
"Barrios-Anderson, Adriel",,,,,,
"Barsoum, Adib",  12/01/1969,,,,,Not Required To Participate
"Basheer, Azam",,,,,,
"Lethchuman, Vijay",,,,,,
"Li, Veetai",  05/01/1997,,,  06/20/2020,Participating,
"Grivas, Nicholas",  01/01/1976,,,,,Not Required To Participate
"Gross, Naina","['\xa0\xa011/13/2009 - 12/31/2019'], ['\xa0\xa001/01/2020 - 12/31/2029']",,,  06/20/2020,Participating,
"Bashir, Asif","['\xa0\xa011/12/2010 - 12/31/2020'], ['\xa0\xa001/01/2021 - 12/31/2030']",,,,Participating,
"Bathini, Abhijith",,,,,,
"Bauer, Andrew",  11/02/2019 - 12/31/2029,"['\xa0\xa001/02/2021'], ['\xa0\xa001/01/2023']",,,Participating,
"Beaumont, Andrew",  11/12/2014 - 12/31/2024,,,,Participating,
"Ljubimov, Vlad",,,,,,
"Lo, Victor",  10/30/2020 - 12/31/2030,,,,Participating,
"Lu, Victor",,,,,,
"Guley, Natalie",,,,,,
"Gupta, Nalin","['\xa0\xa005/01/2002 - 12/31/2012'], ['\xa0\xa001/01/2013 - 12/31/2022'], ['\xa0\xa001/01/2023 - 12/31/2032']",,,,Participating,
"Han, Nathan",,,,,,
"Haranhalli, Neil",  11/04/2022 - 12/31/2032,,,,Participating,
"Becker, Alexander",,,,,,
"Befeler, Adam",  11/01/2020 - 12/31/2030,,,,Participating,
"Belal, Ahmed",,,,,,
"MacDonald, Vance",  04/01/1975,,,,,Not Required To Participate
"Mahadev, Vaidehi",,,,,,
"Makker, V. James",  05/30/2008 - 12/31/2018,,,,,
"Makler, Vyacheslav",  05/12/2023 - 12/31/2033,,,,Participating,
"Haynes, Neal",  04/20/2016 - 12/31/2026,,,,,
"Herial, Nabeel",,"['\xa0\xa001/02/2020'], ['\xa0\xa001/01/2021']",,,,
"Hooshangi, Nossratollah",  05/01/1982,,,,,Not Required To Participate
"Belayev, Andrey",  10/30/2020 - 12/31/2030,,,,Participating,
"Belzberg, Allan",  05/01/1997,,,,,
"Benet Cabero, Arnau",,,,,,
"Berti, Aldo",  05/01/1985,,,,,Not Required To Participate
"Matheus, Virgilio",  11/09/2016 - 12/31/2026,,,,Participating,
"McCollom, Vance",,"['\xa0\xa001/01/2022'], ['\xa0\xa001/01/2023']",,,,
"Mehta, Vikas","['\xa0\xa005/05/2011 - 12/31/2021'], ['\xa0\xa001/01/2022 - 12/31/2031']",,,,Participating,
"Hopkins, Nicholas",,,,,,
"Hussain, Namath",  05/07/2021 - 12/31/2031,,,,Participating,
"Ibrahim, Naser",,,,,,
"Betancourt, Alejandro","['\xa0\xa011/11/2005 - 12/31/2015'], ['\xa0\xa001/01/2016 - 12/31/2025']",,,,Participating,
"Bethel, Amiel","['\xa0\xa011/19/2003 - 12/31/2013'], ['\xa0\xa001/01/2014 - 12/31/2023']",,,,Participating,
"Bevan, Adam",,,,,,
"Beykovsky, Andrew",  11/13/2013 - 12/31/2023,,,,Participating,
"Mehta, Vikram",,,,,,
"Mehta, Vivek","['\xa0\xa001/01/2001 - 12/31/2001'], ['\xa0\xa005/15/2003 - 12/31/2013']",,,,,
"Mehta, Vivek",  05/08/2021 - 12/31/2031,,,,Participating,
"Miele, Vincent",  11/14/2013 - 12/31/2023,,,,Participating,
"Ironside, Natasha Tireni Louise",,,,,,
"Ivey, Natalie",,,,,,
"Jaleel, Naser",  11/13/2021 - 12/31/2031,"['\xa0\xa006/14/2022'], ['\xa0\xa001/01/2023']",,,Participating,
"Bhansali, Anita",  11/12/2021 - 12/31/2031,,,,Participating,
"Bhargav, Adip",,,,,,
"Bhimani, Abhiraj",,,,,,
"Billings, Anthony",  09/01/1976,,,,,Not Required To Participate
"Milano, Vanessa",,,,,,
"Molian, Vaelan",,,,,,
"Morgese, Vincent",  07/30/2019 - 12/31/2029,,,,Participating,
"Janjua, Nazli",,  06/09/2022,,,,
"Jatavallabhula, Narashima",  04/20/2016 - 12/31/2026,,,,Participating,
"Bindal, Ajay",  11/01/1998,,,,,Not Required To Participate
"Biswas, Arundhati",  05/05/2019 - 12/31/2029,,,,Participating,
"Morreale, Vittorio","['\xa0\xa011/12/2004 - 12/31/2014'], ['\xa0\xa001/01/2015 - 12/31/2024']",,,,Participating,
"Nakkache, Victor",  11/01/1993,,,,,Not Required To Participate
"Nayar, Vikram",  11/13/2013 - 12/31/2023,,,,Participating,
"Neave, Victoria",  09/01/1988,,,,,
"Jenkins, N.",  11/01/1998,,,,,Not Required To Participate
"Johnson, Neil",  01/01/1979,,,,,Not Required To Participate
"Joshi, Neil Dhiresh",,,,,,
"Kamal, Naveed",,,,,,
"Boah, Akwasi",  05/07/2021 - 12/31/2031,,,,Participating,
"Bodman, Alexa",,,,,,
"Bodman, Alexa",  05/06/2022 - 12/31/2032,,,,Participating,
"Nguyen, Vincent",,,,,,
"Nyame, V.",  05/06/2018 - 12/31/2028,,,,Participating,
"Padmanaban, Varun",,,,,,
"Palavali, Vivekanand","['\xa0\xa011/01/2000 - 12/31/2010'], ['\xa0\xa001/01/2011 - 12/31/2020'], ['\xa0\xa001/01/2021 - 12/31/2030']",,,,Participating,
"Palys, Viktoras",  05/07/2022 - 12/31/2032,,,,Participating,
"Kandalaft, Nicolas",  01/01/1982,,,,,Not Required To Participate
"Kansal, Narendra",  09/01/1986,,,,,Not Required To Participate
"Karim, Najmaldin",  05/01/1988,,,,,Not Required To Participate
"Body, Alaina",,,,,,
"Boev, Angel",  05/05/2018 - 12/31/2028,,,,Participating,
"Bohnen, Angela",  11/12/2021 - 12/31/2031,,,,Participating,
"Bond, Aaron",  05/08/2021 - 12/31/2031,,,,Participating,
"Parmar, Vikas",,,,,,
"Patel, Vaibhav",,,,,,
"Patel, Vishal",,,,,,
"Patel, Vishal",,,,,,
"Kassell, Neal",  01/01/1980,,,,,Not Required To Participate
"Kazmi, Najam",  11/01/1990,,,,,Not Required To Participate
"Khan, Nickalus",  05/12/2023 - 12/31/2033,,,,Participating,
"Kharas, Natasha",,,,,,
"Boskovitz, Abraham",  05/05/2018 - 12/31/2028,,,,Participating,
"Bottini, Anthony",  05/01/1994,,,,,Not Required To Participate
"Boucher, Andrew",,,,,,
"Boulos, Alan","['\xa0\xa011/11/2005 - 12/31/2015'], ['\xa0\xa001/01/2016 - 12/31/2025']",,,,Participating,
"Pelletier, Valmore",  04/01/1975,,,,,Not Required To Participate
"Perry, Victor",  11/14/2013 - 05/16/2022,,,,,
"Prabhu, Vikram","['\xa0\xa005/20/2004 - 12/31/2014'], ['\xa0\xa001/01/2015 - 12/31/2024']",,,,Participating,
"Khattar, Nicolas",,,,,,
"Khoury, Nasri",  09/01/1986,,,,,Not Required To Participate
"Kim, Nora",,,,,,
"Bowles, Alfred","['\xa0\xa011/01/1999 - 12/31/2009'], ['\xa0\xa001/01/2010 - 12/31/2019'], ['\xa0\xa001/01/2020 - 12/31/2029']",,,,Participating,
"Boyke, Andre",,,,,,
"Boylan, Arianne",  11/04/2022 - 12/31/2032,,,,Participating,
"Rao, Vaishnavi",,,,,,
"Rao, Vikas",  05/08/2021 - 12/31/2031,,,,Participating,
"Ravindra, Vijay",  11/13/2021 - 12/31/2031,,,  12/07/2021,Participating,
"Recinos, Violette",  11/13/2014 - 12/31/2024,,,,Participating,
"King-Logsdon, Nevra","['\xa0\xa005/02/2012 - 12/31/2022'], ['\xa0\xa001/01/2023 - 12/31/2032']",,,,Participating,
"Klinger, Neil",,,,,,
"Kotecha, Nilesh","['\xa0\xa005/26/2005 - 12/31/2015'], ['\xa0\xa001/01/2016 - 12/31/2025']",,,,Participating,
"Koymen, Naim",  09/01/1982,,,,,Not Required To Participate
"Brakel, Arlo","['\xa0\xa005/01/1990 - 12/31/2009'], ['\xa0\xa001/01/2010 - 12/31/2019'], ['\xa0\xa001/01/2020 - 12/31/2029']",,,,,
"Braley, Alexander",,,,,,
"Bramall, Alexa",,,,,,
"Brant, Adam","['\xa0\xa005/12/2006 - 12/31/2016'], ['\xa0\xa001/01/2017 - 12/31/2026']",,,,Participating,
"Reddy, Vamsi",,,,,,
"Rossi, Vincent",,,,,,
"Roy, Vance",  11/01/1972,,,,,Not Required To Participate
"Runnels, Vincent",  04/01/1978,,,,,Not Required To Participate
"Lakomkin, Nikita",,,,,,
"Laskay, Nicholas",,,,,,
"Laxpati, Nealen",,,,,,
"Levine, Nicholas","['\xa0\xa011/09/2012 - 12/31/2022'], ['\xa0\xa001/01/2023 - 12/31/2032']",,,,Participating,
"Bregy, Amade",,,,,,
"Brenner, Alexander",,,,,,
"Brock, Andrea",,,,,,
"Sabourin, Victor",,,,,,
"Samuels, Victoria",  11/01/1995,,,,,Not Required To Participate
"Schunemann, Victoria",,,,,,
"Shah, Varun",,,,,,
"Limoges, Natalie",,,,,,
"Lin, Ning",  11/04/2018 - 12/31/2028,,,,Participating,
"Litofsky, N.",  11/01/1995,,,,,Not Required To Participate
"Brooking, Aaron",,,,,,
"Brown, Adam",  11/11/1998,,,,,Not Required To Participate
"Brunswick, Andrew",,,,,,
"Bruzek, Amy",,,,,,
"Silvia, Vaca",,,,,,
"Simpson, Venita",  05/07/2022 - 12/31/2032,,,,Participating,
"Siomin, Vitaly",  11/15/2013 - 12/31/2023,,,,Participating,
"Smart-Abbey, Victor",  09/01/1983,,,,,Not Required To Participate
"Luther, Neal","['\xa0\xa011/09/2016 - 03/31/2022'], ['\xa0\xa006/09/2022 - 12/31/2032']",,,,Participating,
"Macedo, Nelson",  05/01/1988,,,,,Not Required To Participate
"Majmundar, Neil",,,,,,
"Buchholz, Avery",  10/31/2020 - 12/31/2030,,,,Participating,
"Bugarini, Alejandro",,,,,,
"Burdick, Adam",  11/07/2016 - 12/31/2026,,,,Participating,
"Burket, Aaron",,,,,,
"Smith, V.",  09/01/1977,,,,,Not Required To Participate
"Sonnino, Victor",  05/01/1985,,,,,Not Required To Participate
"Sonntag, Volker",  01/01/1980,,,,,Not Required To Participate
"Srinivasan, Visish",,,,,,
"Malhotra, Neil",  05/20/2015 - 12/31/2025,,,,Participating,
"Mandelberg, Nataniel",,,,,,
"Manno, Nicholas",  05/01/1968,,,,,Not Required To Participate
"Burrows, Anthony",  11/13/2021 - 12/31/2031,,,,Participating,
"Bydon, Ali","['\xa0\xa011/12/2010 - 12/31/2020'], ['\xa0\xa001/01/2021 - 12/31/2030']",,,,Participating,
"Calica, Arnold",  05/01/1985,,,,,Not Required To Participate
"Camacho, Arturo","['\xa0\xa011/01/2002 - 12/31/2012'], ['\xa0\xa001/01/2013 - 12/31/2022'], ['\xa0\xa001/01/2023 - 12/31/2032']",,,,Participating,
"Sudhakar, Vivek",,,,,,
"Sukul, Vishad",  10/30/2020 - 12/31/2030,,,,Participating,
"Szeder, MD, PhD, Viktor",,  02/13/2023,,,,
"Mansour, Nassir",  11/03/2018 - 12/31/2028,,,,Participating,
"Mariwalla, Nitin",,,,,,
"Marko, Nicholas",  05/05/2018 - 12/31/2028,,,,Participating,
"Martin, Neil",  05/01/1989,,,,,Not Required To Participate
"Camma, Albert",  01/01/1978,,,,,Not Required To Participate
"Canady, Alexa",  05/01/1984,,,,,Not Required To Participate
"Cannestra, Andrew","['\xa0\xa005/27/2009 - 12/31/2019'], ['\xa0\xa001/01/2020 - 12/31/2029']",,,,Participating,
"Tabar, Viviane","['\xa0\xa005/12/2006 - 12/31/2016'], ['\xa0\xa001/01/2017 - 12/31/2026']",,,,Participating,
"Tantuwaya, Vrijesh","['\xa0\xa005/25/2007 - 12/31/2017'], ['\xa0\xa001/01/2018 - 12/31/2027']",,,,Participating,
"Tashjian, Vartan",  11/13/2014 - 12/31/2024,,,,Participating,
"Martirosyan, Nikolay",,,,,,
"Martirosyan, Nikolay",  11/12/2021 - 12/31/2031,,,,Participating,
"Marupudi, Neena",  10/30/2020 - 12/31/2030,,,  12/12/2020,Participating,
"Mayer, Norman","['\xa0\xa011/13/2009 - 12/31/2019'], ['\xa0\xa001/01/2020 - 12/31/2029']",,,,Participating,
"Capanna, Albert",  09/01/1982,,,,,
"Capocelli, Anthony","['\xa0\xa005/20/2004 - 12/31/2014'], ['\xa0\xa001/01/2015 - 12/31/2024']",,,,Participating,
"Caputy, Anthony",  09/01/1989,,,,,Not Required To Participate
"Caras, Andrew",,,,,,
"Thakur, Vishal",,,,,,
"Traynelis, Vincent",  11/01/1992,,,,,Not Required To Participate
"Tse, Victor","['\xa0\xa005/01/2002 - 12/31/2012'], ['\xa0\xa001/01/2013 - 12/31/2022'], ['\xa0\xa001/01/2023 - 12/31/2032']",,,,Participating,
"Mbabuike, Nnenna",  11/12/2021 - 12/31/2031,,,,Participating,
"McKay, Natasha","['\xa0\xa005/02/2012 - 12/31/2022'], ['\xa0\xa001/01/2023 - 12/31/2032']",,,,Participating,
"Mehan, Neal",  05/07/2022 - 12/31/2032,,,,Participating,
"Mendoza-Elias, Nasya",,,,,,
"Carlson, Andrew",  05/08/2017 - 12/31/2027,"['\xa0\xa001/01/2022'], ['\xa0\xa001/01/2023']","['\xa0\xa006/07/2022'], ['\xa0\xa006/07/2022'], ['\xa0\xa006/07/2022'], ['\xa0\xa006/07/2022'], ['\xa0\xa006/07/2022']",,Participating,
"Carlton, Adam Franklin",,,,,,
"Carminucci, Arthur",,,,,,
"Tsvankin, Vadim",,,,,,
"Udani, Vikram",  11/05/2017 - 12/31/2027,,,,Participating,
"Vadlamudi, Venu",,"['\xa0\xa001/02/2020'], ['\xa0\xa001/01/2021']",,,,
"Vasenina, Valentina",,,,,,
"Moayeri, N.","['\xa0\xa011/01/2002 - 12/31/2012'], ['\xa0\xa001/01/2013 - 12/31/2022'], ['\xa0\xa001/01/2023 - 12/31/2032']",,,,Participating,
"Moore, Nina",  11/04/2022 - 12/31/2032,,,,Participating,
"Moskowitz, Nathan",  11/01/1993,,,,,Not Required To Participate
"Carpenter, Amanda",,,,,,
"Carpenter, Austin",,,,,,
"Carr, Ann","['\xa0\xa011/02/2011 - 12/31/2021'], ['\xa0\xa001/01/2022 - 12/31/2031']",,,,Participating,
"Carrasquilla, Alejandro",,,,,,
"Vasudeva, Viren",  11/05/2022 - 12/31/2032,,,,Participating,
"Wang, Vincent",  05/09/2014 - 12/31/2024,"['\xa0\xa001/01/2022'], ['\xa0\xa001/01/2023']",,,Participating,
"Watson, Victoria",,,,,,
"Williams, Victor",  11/15/2013 - 12/31/2023,,,,Participating,
"Moss, Nelson",  11/13/2021 - 12/31/2031,,,,Participating,
